url,ticket,score
tensorflow/tensorflow/commit/955059813cc325dc1db5e2daa6221271406d4439,54110,0.8189351621105179
tensorflow/tensorflow/commit/448a16182065bd08a202d9057dd8ca541e67996c,54936,0.5896263577050863
tensorflow/tensorflow/commit/c99d98cd189839dcf51aee94e7437b54b31f8abd,54106,0.8545340110233364
tensorflow/tensorflow/commit/35f0fabb4c178253a964d7aabdbb15c6a398b69a,53967,0.43154781228771627
tensorflow/tensorflow/commit/e21af685e1828f7ca65038307df5cc06de4479e8,54092,0.7541072144365641
tensorflow/tensorflow/commit/eebb96c2830d48597d055d247c0e9aebaea94cd5,49281,1.0
tensorflow/tensorflow/commit/030af767d357d1b4088c4a25c72cb3906abac489,54092,0.7374862686229422
tensorflow/tensorflow/commit/a7116dd3913c4a4afd2a3a938573aa7c785fdfc6,49325,0.8586319219703834
tensorflow/tensorflow/commit/b055b9c474cd376259dde8779908f9eeaf097d93,55222,0.8631711829220343
tensorflow/tensorflow/commit/799f835a3dfa00a4d852defa29b15841eea9d64f,49332,0.9079170186771651
tensorflow/tensorflow/commit/ff70c47a396ef1e3cb73c90513da4f5cb71bebba,54092,0.7374862686229422
tensorflow/tensorflow/commit/b1cc5e5a50e7cee09f2c6eb48eb40ee9c4125025,5204,0.841848034875456
tensorflow/tensorflow/commit/8f37b52e1320d8d72a9529b2468277791a261197,49352,0.9270209994739141
tensorflow/tensorflow/commit/c57c0b9f3a4f8684f3489dd9a9ec627ad8b599f5,49316,1.0
tensorflow/tensorflow/commit/311403edbc9816df80274bd1ea8b3c0c0f22c3fa,49356,0.7602207930662748
tensorflow/tensorflow/commit/69c68ecbb24dff3fa0e46da0d16c821a2dd22d7c,49536,1.0
tensorflow/tensorflow/commit/fca9874a9b42a2134f907d2fb46ab774a831404a,49364,0.8963644480069926
tensorflow/tensorflow/commit/2be2cdf3a123e231b16f766aa0e27d56b4606535,49955,0.9150555834959286
tensorflow/tensorflow/commit/b12aa1d44352de21d1a6faaf04172d8c2508b42b,7055,1.0
tensorflow/tensorflow/commit/cfa91be9863a91d5105a3b4941096044ab32036b,49387,0.917941738374148
tensorflow/tensorflow/commit/a1b11d2fdd1e51bfe18bb1ede804f60abfa92da6,49392,0.8530367972526469
tensorflow/tensorflow/commit/f851613f8f0fb0c838d160ced13c134f778e3ce7,49400,0.9076530952679488
tensorflow/tensorflow/commit/e6a7c7cc18c3aaad1ae0872cb0a959f5c923d2bd,49396,0.9662186751102508
tensorflow/tensorflow/commit/26eb323554ffccd173e8a79a8c05c15b685ae4d1,49404,1.0
tensorflow/tensorflow/commit/44b7f486c0143f68b56c34e2d01e146ee445134a,49406,1.0
